variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK-noH,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9999999928769201,7.123079903692542e-09
PK-scramble,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9955320156040321,0.00446798439596785
CO,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9985855568016911,0.0014144431983088568
INTSEQ,1000.0,7.0,1201,20000,1.0,0.1,gauss,0.9923119121032505,0.007688087896749463
RANDW,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9910897475916095,0.008910252408390495
INTSEQ,1500.0,3.0,801,20000,1.0,0.1,gauss,0.9948802397954645,0.005119760204535528
PK-phaseJ,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9955194620654079,0.0044805379345921326
PK,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.9948899163547013,0.005110083645298746
PK-oddK,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.9951323258301487,0.004867674169851344
PK-noH,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.9999999976377407,2.362259277077783e-09
PK-scramble,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.9948899163547013,0.005110083645298746
PK,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9921009188901165,0.007899081109883466
RANDW,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.9927609849585528,0.007239015041447194
PK-oddK,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9917167256109555,0.008283274389044526
PK-phaseJ,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.9948766534962229,0.005123346503777104
PK-noH,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9999997571257115,2.428742884585944e-07
PK-scramble,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9921009188901165,0.007899081109883466
PK-phaseJ,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9920587693200643,0.007941230679935685
RANDW,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9711657791588423,0.02883422084115772
PK,1500.0,5.0,801,20000,1.0,0.1,gauss,0.9916940543492553,0.008305945650744717
PK-oddK,1500.0,5.0,801,20000,1.0,0.1,gauss,0.9917167256109555,0.008283274389044526
PK-noH,1500.0,5.0,801,20000,1.0,0.1,gauss,0.9999999988310619,1.1689380574608776e-09
PK-scramble,1500.0,5.0,801,20000,1.0,0.1,gauss,0.9916940543492553,0.008305945650744717
PK-phaseJ,1500.0,5.0,801,20000,1.0,0.1,gauss,0.9916470256137033,0.008352974386296674
CO,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9986766098221753,0.0013233901778246793
RANDW,1500.0,5.0,801,20000,1.0,0.1,gauss,0.9741576252082311,0.025842374791768874
CO,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9925268616132288,0.0074731383867712164
INTSEQ,1500.0,3.0,1201,20000,1.0,0.1,fejer,0.9952962408437821,0.0047037591562179015
PK,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.9921040953771112,0.007895904622888805
CO,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.998585567767085,0.0014144322329150416
INTSEQ,1500.0,5.0,801,20000,1.0,0.1,fejer,0.9781630526986371,0.021836947301362875
PK-oddK,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.9917188925851113,0.008281107414888744
PK-noH,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.9999998930732452,1.069267547837427e-07
PK-scramble,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.9921040953771112,0.007895904622888805
INTSEQ,1500.0,3.0,1201,20000,1.0,0.1,gauss,0.9948801421617028,0.005119857838297159
RANDW,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.9711464089263521,0.028853591073647933
PK-phaseJ,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.992100497086507,0.00789950291349295
CO,1500.0,5.0,801,20000,1.0,0.1,gauss,0.9929505653934168,0.007049434606583249
INTSEQ,1500.0,5.0,801,20000,1.0,0.1,gauss,0.978991547168149,0.021008452831851043
PK,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9916940411196354,0.008305958880364561
PK-oddK,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9917188925851113,0.008281107414888744
PK-noH,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9999999994784321,5.215678999803686e-10
PK-scramble,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9916940411196354,0.008305958880364561
RANDW,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9741532704609385,0.02584672953906153
PK,1500.0,7.0,801,20000,1.0,0.1,fejer,0.9847360046016868,0.015263995398313246
PK-phaseJ,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9916980120417772,0.00830198795822279
PK-oddK,1500.0,7.0,801,20000,1.0,0.1,fejer,0.9840724359522712,0.01592756404772877
PK-noH,1500.0,7.0,801,20000,1.0,0.1,fejer,0.9999999965691111,3.4308889063083825e-09
RANDW,1500.0,7.0,801,20000,1.0,0.1,fejer,0.9619408994586093,0.03805910054139072
PK-phaseJ,1500.0,7.0,801,20000,1.0,0.1,fejer,0.9845668815566347,0.015433118443365257
PK-scramble,1500.0,7.0,801,20000,1.0,0.1,fejer,0.9847360046016868,0.015263995398313246
PK,1500.0,7.0,801,20000,1.0,0.1,gauss,0.9840528996922657,0.015947100307734274
PK-oddK,1500.0,7.0,801,20000,1.0,0.1,gauss,0.9840724359522712,0.01592756404772877
PK-noH,1500.0,7.0,801,20000,1.0,0.1,gauss,0.9999999999980829,1.9171331189227203e-12
